,w,tc,stc,2010_7,2010,2013_7,2013,2016_7,2016,2010,2011,2012,2013,2014,2015,2006,2007,2008
190,uganda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,freez_precipit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,northern_eurasia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,north_america,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,climat_chang,155,2,0,0,1,1,2,2,2,1,1,1,0,0,2,2,2
195,analyt_hierarch_process,40,2,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2
196,catastroph_theori,2,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
197,flash_flood,225,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1
198,iraq,2,2,0,0,0,0,2,2,2,2,2,2,2,0,2,2,2
199,mass_movement,64,0,2,2,2,2,0,2,0,0,0,0,0,0,2,2,0
200,sackung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,later_spread,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,land_plan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,remot_sens,493,45,6,5,43,40,45,50,44,16,10,5,4,0,48,48,45
204,hydrolog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,geo_environ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,dem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,hurrican_relief,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,age_popul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,p_median_model,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,facil_site,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,chalcolith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,natur_resourc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,human_settlement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,algier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,al_harrash_municip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,al_harrash_river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,multicriteria_analysi,8,2,0,0,2,2,2,2,2,2,0,0,0,0,2,2,2
218,vulnerability_resili_indic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,water_rel_risk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,hazard_liquid,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,pipelin_system,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,accid_analysi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,natech,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,phmsa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,setif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,analytic_heurist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,suscept,123,16,0,0,15,14,16,16,16,2,2,1,1,0,16,16,16
228,natur_break,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,land_use_plan,58,2,0,0,2,0,2,2,2,2,2,0,0,0,2,2,2
230,zone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,sistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,baluchestan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,suscept_map,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
234,analyt_hierarchi_process_ahp,179,1,0,21,0,21,1,21,1,1,1,1,1,1,1,1,1
235,environment_risk,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,socioeconom_vulner,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,long_dist_migrat,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,displac,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,residenti_mobil,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,extend_neighborhood,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,attain,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,hurrican_katrina,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,earthquak,121,0,8,11,1,11,0,11,0,0,0,0,0,0,1,0,0
244,hazus_mh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,time_us_survey,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
